"V1","V2","V3","V5","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
1,-0.804523348624715,-0.454670247828609,0.230641670265957,0,0,0,0,0,0,0,0,0,0
-0.804523348624715,1,0.382900648936138,-0.340119928605065,0,0,0,0,0,0,0,0,0,0
-0.454670247828609,0.382900648936138,1,-0.648664321438431,0,0,0,0,0,0,0,0,0,0
0.230641670265957,-0.340119928605065,-0.648664321438431,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0.135000183850173,0.0815011140094034,-0.0989227795980037,-0.0164561672120277,0,0,0,0,0
0,0,0,0,0.135000183850173,1,0.110546402891152,0.263857688685525,0.0798629896913614,0,0,0,0,0
0,0,0,0,0.0815011140094034,0.110546402891152,1,-0.0812071486410412,0.17295075503653,0,0,0,0,0
0,0,0,0,-0.0989227795980037,0.263857688685525,-0.0812071486410412,1,-0.180069637844486,0,0,0,0,0
0,0,0,0,-0.0164561672120277,0.0798629896913614,0.17295075503653,-0.180069637844486,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0.0141799749669336,0.0859493122195995,-0.011987900828967,0.107534235942278
0,0,0,0,0,0,0,0,0,0.0141799749669336,1,-0.0277746355451129,0.0256296979243497,-0.2228320440212
0,0,0,0,0,0,0,0,0,0.0859493122195995,-0.0277746355451129,1,0.0760525788697501,-0.0487460557765526
0,0,0,0,0,0,0,0,0,-0.011987900828967,0.0256296979243497,0.0760525788697501,1,-0.0585861107979722
0,0,0,0,0,0,0,0,0,0.107534235942278,-0.2228320440212,-0.0487460557765526,-0.0585861107979722,1
